Date,Time,Money
3-Jan-00,1.20%,-23.45%
4-Jan-00,0.70%,-23.84%
5-Jan-00,0.97%,-22.72%
6-Jan-00,1.61%,-21.99%
7-Jan-00,2.56%,-20.52%
10-Jan-00,3.18%,-20.47%
11-Jan-00,2.91%,-21.54%
12-Jan-00,3.08%,-21.58%
13-Jan-00,3.67%,-20.90%
14-Jan-00,3.97%,-20.33%
18-Jan-00,3.71%,-20.59%
19-Jan-00,3.42%,-20.93%
20-Jan-00,3.27%,-21.07%
21-Jan-00,3.83%,-21.01%
24-Jan-00,2.14%,-23.52%
25-Jan-00,3.13%,-21.47%
26-Jan-00,3.21%,-22.08%
27-Jan-00,3.06%,-22.39%
28-Jan-00,1.55%,-24.23%
31-Jan-00,2.32%,-23.19%
1-Feb-00,2.71%,-21.05%
2-Feb-00,3.04%,-21.73%
3-Feb-00,3.57%,-20.47%
4-Feb-00,3.79%,-20.55%
7-Feb-00,3.06%,-21.47%
8-Feb-00,3.73%,-20.27%
9-Feb-00,2.62%,-22.57%
10-Feb-00,2.79%,-21.64%
11-Feb-00,2.03%,-22.89%
14-Feb-00,2.39%,-22.77%
15-Feb-00,2.95%,-21.87%
16-Feb-00,2.60%,-21.31%
17-Feb-00,2.79%,-21.17%
18-Feb-00,1.06%,-23.34%
22-Feb-00,1.46%,-19.79%
23-Feb-00,2.03%,-19.12%
24-Feb-00,2.36%,-19.27%
25-Feb-00,1.69%,-20.44%
28-Feb-00,1.94%,-18.29%
29-Feb-00,2.73%,-17.97%
1-Mar-00,3.97%,-16.88%
2-Mar-00,4.03%,-17.61%
3-Mar-00,4.87%,-17.27%
6-Mar-00,4.43%,-17.88%
7-Mar-00,2.22%,-20.64%
8-Mar-00,2.77%,-20.07%
9-Mar-00,4.01%,-17.41%
10-Mar-00,3.60%,-17.82%
13-Mar-00,3.19%,-18.67%
14-Mar-00,2.92%,-19.79%
15-Mar-00,3.64%,-18.75%
16-Mar-00,4.78%,-16.06%
17-Mar-00,3.58%,-17.60%
20-Mar-00,2.99%,-20.23%
21-Mar-00,4.01%,-18.69%
22-Mar-00,3.18%,-18.34%
23-Mar-00,3.67%,-18.35%
24-Mar-00,3.21%,-18.17%
27-Mar-00,2.49%,-17.70%
28-Mar-00,2.13%,-18.95%
29-Mar-00,2.19%,-18.80%
30-Mar-00,1.59%,-19.47%
31-Mar-00,2.49%,-18.46%
3-Apr-00,2.15%,-18.89%
4-Apr-00,-0.06%,-21.01%
5-Apr-00,-0.34%,-21.81%
6-Apr-00,0.14%,-19.27%
7-Apr-00,1.25%,-18.74%
10-Apr-00,0.88%,-19.52%
11-Apr-00,0.28%,-20.98%
12-Apr-00,-0.42%,-21.70%
13-Apr-00,-1.52%,-22.50%
14-Apr-00,-5.26%,-24.08%
17-Apr-00,-2.10%,-22.91%
18-Apr-00,0.84%,-19.78%
19-Apr-00,0.42%,-20.93%
20-Apr-00,0.70%,-20.56%
24-Apr-00,0.10%,-21.68%
25-Apr-00,1.27%,-19.80%
26-Apr-00,0.32%,-21.29%
27-Apr-00,0.06%,-21.64%
28-Apr-00,-0.37%,-21.58%
1-May-00,1.24%,-20.17%
2-May-00,0.11%,-20.67%
3-May-00,-2.04%,-22.15%
4-May-00,-1.55%,-21.88%
5-May-00,-0.07%,-19.68%
8-May-00,-0.01%,-19.43%
9-May-00,-0.69%,-20.29%
10-May-00,-0.86%,-20.97%
11-May-00,0.23%,-19.67%
12-May-00,1.01%,-18.95%
15-May-00,2.08%,-17.65%
16-May-00,2.28%,-16.98%
17-May-00,2.29%,-18.65%
18-May-00,2.19%,-19.58%
19-May-00,1.52%,-19.34%
22-May-00,0.96%,-20.28%
23-May-00,0.54%,-21.06%
24-May-00,1.25%,-20.09%
25-May-00,1.31%,-20.37%
26-May-00,1.16%,-20.54%
30-May-00,2.50%,-15.73%
31-May-00,2.20%,-16.52%
1-Jun-00,2.89%,-15.24%
2-Jun-00,3.19%,-16.38%
5-Jun-00,2.90%,-16.05%
6-Jun-00,2.47%,-16.40%
7-Jun-00,2.58%,-16.06%
8-Jun-00,2.14%,-16.38%
9-Jun-00,1.79%,-16.62%
12-Jun-00,1.57%,-16.70%
13-Jun-00,2.42%,-15.60%
14-Jun-00,2.57%,-16.44%
15-Jun-00,2.83%,-16.08%
16-Jun-00,2.54%,-16.77%
19-Jun-00,3.14%,-16.59%
20-Jun-00,3.15%,-17.11%
21-Jun-00,3.22%,-17.10%
22-Jun-00,2.49%,-17.96%
23-Jun-00,2.23%,-18.34%
26-Jun-00,2.48%,-18.06%
27-Jun-00,2.38%,-18.17%
28-Jun-00,3.46%,-17.30%
29-Jun-00,3.95%,-16.65%
30-Jun-00,4.20%,-16.21%
3-Jul-00,4.01%,-16.83%
5-Jul-00,3.10%,-17.91%
6-Jul-00,3.32%,-17.50%
7-Jul-00,3.89%,-13.86%
10-Jul-00,3.86%,-14.08%
11-Jul-00,3.91%,-13.90%
12-Jul-00,3.94%,-13.73%
13-Jul-00,3.98%,-13.63%
14-Jul-00,3.93%,-13.18%
17-Jul-00,3.54%,-13.62%
18-Jul-00,3.50%,-14.01%
19-Jul-00,3.56%,-14.07%
20-Jul-00,3.95%,-13.15%
21-Jul-00,3.70%,-13.71%
24-Jul-00,3.75%,-14.57%
